8.000	10.183	8.691	4.130	5.892	3.673	5.670	7.708	7.410	5.810	7.133	5.006	4.742	3.954	5.467	5.972	4.872	3.731	6.617	4.452	6.788	4.216	3.839	3.617	2.090	1.803	2.771	5.050	3.163	2.263	5.237	1.678	2.624	0.902	3.660	0.246	2.686	2.898	4.479	1.952	2.189	4.750	3.421	3.026	1.577	2.860	6.955	3.447	2.026	3.497	2.763	7.508	3.605	3.331	5.875	2.961	4.699	2.928	1.381	1.566	0.586	2.619	3.449	5.938	3.035	4.060	3.082	3.978	4.466	2.482	3.537	3.871	2.766	2.917	2.207	0.664	3.752	0.000	0.640	5.452	2.377	0.000	0.612	0.000	0.000	0.000	2.339	1.271	1.409	2.678	1.588	3.239	3.488	2.156	0.000	0.000	1.238	1.806	0.189	1.804	0.000	3.240	2.021	1.612	0.421	1.186	0.000	4.167	1.415	4.141	1.263	2.602	0.879	3.952	0.000	0.000	1.411	0.057	3.592	1.883
10.183	8.000	8.246	7.913	7.704	6.081	5.804	6.037	4.035	4.973	9.170	7.015	5.151	3.377	6.412	6.287	4.824	5.529	5.114	3.905	6.441	3.997	6.280	3.577	3.687	2.919	0.935	5.803	5.534	3.251	4.150	2.168	3.116	4.411	3.739	0.513	1.499	2.934	2.516	5.092	4.479	2.064	5.794	3.535	0.218	0.000	4.248	4.900	1.691	4.497	2.780	4.739	1.829	3.462	2.141	4.162	4.356	0.000	0.000	2.021	1.340	4.042	5.044	6.546	4.400	0.000	3.456	7.814	2.190	3.965	2.461	4.650	3.046	2.265	1.786	0.000	0.789	6.159	6.046	2.690	2.846	0.446	4.562	0.857	4.028	0.066	0.000	4.104	5.667	0.000	1.304	1.850	0.422	1.764	1.054	1.864	0.977	0.000	3.242	1.146	3.270	3.775	0.000	2.300	1.928	3.602	2.039	1.177	3.456	0.782	0.825	2.165	2.240	1.243	3.618	0.984	1.643	0.641	0.000	0.618
8.691	8.246	8.000	9.067	5.808	8.063	4.181	6.185	6.997	4.376	6.617	5.339	6.694	5.204	1.137	3.242	4.561	6.690	4.850	0.943	5.687	3.289	4.295	4.994	5.459	5.393	5.092	4.400	2.008	2.747	6.140	1.551	7.049	2.326	5.288	3.499	2.623	4.970	1.350	5.059	3.965	3.030	3.311	0.977	1.783	1.343	0.537	3.372	5.743	2.078	2.917	0.971	3.635	0.806	4.373	5.740	3.226	4.656	1.920	4.863	3.530	3.117	4.756	1.998	3.492	2.139	2.794	4.904	0.139	0.000	1.439	4.109	4.388	0.000	0.793	5.106	1.687	0.000	3.196	4.924	0.000	4.823	0.188	0.000	0.000	2.464	0.000	2.222	0.000	0.000	0.000	0.000	2.592	1.629	0.000	0.000	3.184	1.935	1.627	0.610	3.239	2.443	0.000	0.947	0.000	2.014	0.559	1.119	0.000	0.000	1.682	0.476	0.315	0.000	0.835	1.035	3.115	1.423	0.000	3.152
4.130	7.913	9.067	8.000	10.860	7.801	6.181	6.143	5.559	5.783	4.989	8.466	5.364	6.159	7.203	6.951	4.231	5.391	3.284	8.006	6.287	1.905	6.400	4.146	2.052	4.677	3.910	4.249	5.242	2.532	4.148	3.684	4.962	3.520	5.567	4.988	0.335	2.705	2.325	3.820	3.586	2.441	5.773	0.911	3.214	5.550	4.460	3.334	2.827	1.460	0.982	0.550	1.793	3.638	5.359	1.969	2.516	3.880	3.505	4.343	4.418	2.515	4.403	2.990	1.768	6.045	3.398	4.609	3.775	1.769	2.309	0.369	3.774	2.761	3.808	3.910	0.000	1.669	4.452	4.380	0.404	0.424	0.000	0.285	0.469	2.203	3.295	0.000	1.388	1.337	3.620	1.031	0.058	0.824	2.980	1.776	0.087	0.697	1.447	1.284	3.955	1.920	0.659	0.732	1.079	1.500	0.000	0.738	2.073	0.000	0.279	0.000	0.000	0.000	1.405	1.701	0.000	2.076	0.000	0.531
5.892	7.704	5.808	10.860	8.000	10.330	9.267	6.525	6.140	9.091	1.940	7.727	4.959	6.278	2.957	5.117	4.375	4.422	4.505	4.368	6.196	4.630	7.219	3.919	5.959	3.275	3.812	3.417	5.449	4.323	2.967	5.002	1.524	3.544	2.578	3.251	3.809	0.707	5.511	2.643	5.032	7.471	4.521	2.421	3.299	6.443	2.941	4.081	5.495	4.630	3.614	7.962	3.456	1.878	4.672	2.995	1.422	3.036	5.789	3.810	2.984	5.503	0.000	2.603	3.601	3.502	3.058	5.174	1.727	3.629	1.113	6.523	6.001	1.624	3.431	2.417	2.215	2.143	3.442	1.872	0.035	0.000	2.898	5.441	1.557	2.200	1.071	3.874	0.739	0.000	0.690	0.000	3.223	5.179	4.180	2.431	0.000	0.947	0.000	0.851	1.365	1.435	0.276	1.168	2.636	1.108	0.000	1.358	0.000	0.827	0.000	1.747	2.344	0.371	0.045	0.735	2.090	0.000	0.650	1.357
3.673	6.081	8.063	7.801	10.330	8.000	6.290	6.386	6.903	7.721	8.017	7.138	6.477	8.387	7.899	8.020	5.352	4.583	5.654	4.924	5.771	4.592	1.835	3.967	4.708	1.877	5.863	7.918	5.729	5.193	3.894	4.906	3.982	1.330	4.495	4.149	3.336	5.482	0.629	3.756	3.046	2.585	2.732	3.722	3.561	3.244	4.889	0.994	3.279	2.638	5.168	3.867	4.145	4.093	1.279	1.892	5.384	2.629	2.681	1.286	3.637	0.607	2.193	1.848	4.929	6.114	4.147	4.357	3.629	6.102	3.298	4.983	1.484	4.217	3.927	1.584	3.433	3.552	3.322	3.775	0.083	0.000	1.345	3.106	0.165	0.000	0.232	5.198	0.616	3.153	0.000	0.000	2.583	2.458	4.490	0.000	0.000	0.000	2.559	4.041	2.846	2.470	0.000	0.000	0.000	0.000	1.200	0.235	0.000	0.843	3.126	0.000	0.000	1.462	0.835	2.237	0.311	1.986	0.000	0.899
5.670	5.804	4.181	6.181	9.267	6.290	8.000	9.027	7.163	6.667	7.833	8.486	6.987	9.235	4.689	8.076	6.011	3.144	5.441	5.781	4.482	6.171	5.099	4.067	5.329	4.557	5.011	3.287	4.450	3.735	4.226	1.538	3.357	2.347	5.678	1.667	5.382	4.303	8.114	4.206	4.615	5.640	4.603	1.451	0.340	1.436	4.506	3.609	4.591	2.798	4.578	4.890	4.146	3.143	3.437	1.647	1.086	6.457	3.832	1.179	2.545	1.915	2.397	4.441	4.981	4.601	2.088	2.863	2.489	7.232	4.449	5.414	3.527	1.295	5.511	3.730	5.270	0.664	7.175	1.404	1.546	0.959	0.000	1.105	2.872	0.000	2.572	0.000	2.245	0.414	0.477	0.000	3.142	0.000	0.000	1.557	4.320	0.460	1.537	2.082	0.402	2.875	0.000	1.577	3.379	1.725	3.051	1.303	0.000	2.857	0.000	0.000	0.873	1.680	0.214	1.479	2.544	0.000	3.049	1.318
7.708	6.037	6.185	6.143	6.525	6.386	9.027	8.000	7.463	6.755	6.651	6.835	5.310	6.034	7.497	5.967	5.365	6.461	5.706	3.167	6.531	4.178	5.606	4.135	5.526	4.734	6.530	2.883	6.875	5.883	3.196	4.737	5.494	1.535	1.549	4.808	4.501	2.104	4.505	2.660	3.749	3.528	4.076	7.672	3.380	1.442	7.520	5.609	1.686	3.299	2.095	2.308	2.753	4.511	1.504	3.415	5.527	2.014	0.924	1.384	3.016	2.562	0.599	3.111	5.396	4.151	2.492	6.123	1.040	3.140	3.633	5.603	2.267	1.809	3.399	2.752	5.821	3.352	2.061	0.000	1.561	1.504	1.026	0.991	0.000	1.951	1.530	0.000	3.085	1.385	0.000	0.000	0.100	1.772	1.329	0.000	2.798	3.418	1.269	1.420	1.002	0.339	0.000	1.213	0.908	1.720	1.753	0.000	1.407	3.620	0.000	2.348	0.000	3.009	0.875	1.587	0.000	1.011	0.000	1.797
7.410	4.035	6.997	5.559	6.140	6.903	7.163	7.463	8.000	7.531	10.013	4.694	8.169	8.211	4.782	6.084	5.917	6.196	7.206	6.185	4.729	6.246	5.225	1.041	6.535	2.216	4.120	4.649	5.185	2.560	3.297	4.959	6.860	3.877	3.549	5.392	5.056	4.200	4.562	0.915	2.395	3.985	1.864	5.556	3.308	3.702	5.803	3.086	4.258	3.496	3.148	2.459	3.177	4.166	3.486	0.259	3.573	3.828	5.353	1.766	3.781	4.494	2.035	2.203	0.298	2.393	4.186	4.307	5.814	3.266	1.888	3.482	6.012	1.988	4.397	3.069	5.139	3.469	0.000	2.865	0.926	2.625	0.000	2.191	1.515	3.561	0.129	1.860	2.754	0.800	0.000	0.265	0.101	0.172	2.295	4.177	0.916	3.406	1.573	3.913	2.609	2.450	1.150	0.698	0.000	0.955	2.777	0.662	0.000	2.743	0.379	3.142	4.750	0.000	0.000	0.000	1.704	0.366	0.000	3.407
4.452	3.905	0.943	8.006	4.368	4.924	5.781	3.167	6.185	7.674	5.287	5.071	7.124	5.004	7.827	5.208	6.637	8.198	8.122	8.000	6.465	7.941	6.055	6.471	6.901	4.315	7.621	7.388	9.785	10.227	6.629	4.027	5.346	8.960	6.156	5.660	6.810	4.609	5.474	3.367	4.879	6.772	3.106	2.818	2.172	4.523	5.501	0.348	3.132	1.126	4.210	2.717	4.940	5.957	2.139	2.195	2.674	3.846	3.611	2.596	2.023	1.728	7.122	3.236	2.777	1.954	4.465	3.885	3.939	0.093	1.439	3.648	3.725	5.989	1.291	2.440	2.802	1.822	2.997	5.269	3.173	0.000	1.504	0.000	0.163	2.704	1.011	0.548	3.379	3.011	0.783	0.000	1.267	0.000	1.374	0.257	2.272	0.000	2.118	0.000	3.415	0.000	0.000	0.350	0.000	0.000	2.683	1.361	2.357	1.060	0.000	1.763	3.020	3.189	1.330	0.931	1.427	1.238	1.972	4.279
